Couple_sens_motivation,Num_dossiers
Incompétence/Renseignement,551
Favorable/Sauf préparatoire,768
Défavorable/Vie privée,1384
Favorable/Sauf commercial industriel,2279
Incompétence/Judiciaire,522
Favorable/Sauf vie privée,3489
Incompétence/Loi spéciale,817
Favorable/Sauf sécurité,676
Sans objet/Inexistant,2521
Sans objet/Communiqué,4675
Incompétence/Privé,655
Irrecevable/Refus non établi,567
Favorable/Sauf appréciation,1164
Défavorable/Comportement,640
Favorable/Sauf comportement,1589
