Administration,Num_dossiers
Direction générale des finances publiques (DGFIP),972
"X, député",420
Ministère de la justice,406
Ministère de l'intérieur,406
Assistance Publique-Hôpitaux de Paris (AP-HP),323
Mairie de Paris,205
Ministère de la défense,197
Préfecture de police de Paris,182
Ministère de la Justice,161
"X, députée",147
La Poste,142
Ministère des Armées,128
Préfecture de la Seine-Saint-Denis,106
Direction générale des patrimoines,105
Ministère de l'Intérieur,103
"Ministère de l'écologie, du développement durable et de l'énergie",98
Pôle emploi,92
Orange Groupe,83
Ministère de l'Europe et des affaires étrangères,80
Ministère de la culture et de la communication,78
Service départemental d'incendie et de secours du Cher (SDIS 18),77
Ministère des affaires étrangères et du développement international,75
Caisse primaire d'assurance maladie du Rhône (CPAM 69) ,72
Préfecture du Val-de-Marne,64
Mairie de Villeneuve-Saint-Georges,64
Ministère de l'éducation nationale,60
Ministère de la Transition écologique et solidaire,57
Mairie de Villeneuve-d'Ascq,57
"Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social",57
Assistance publique-Hôpitaux de Marseille (AP-HM),55
Préfecture des Hauts-de-Seine,52
Préfecture des Bouches-du-Rhône,52
Caisse interprofessionnelle de prévoyance et d'assurance vieillesse (CIPAV),52
Préfecture de l'Essonne,52
Préfecture de Seine-et-Marne,52
